K,n,δ,A,up
0.021,1.5,250.0,20.0,1.1
0.021,1.5,250.0,20.0,1.2
0.021,1.5,250.0,20.0,1.3
0.021,1.5,250.0,20.0,1.4
0.021,1.5,250.0,20.0,1.5
0.021,1.5,255.0,20.0,1.1
0.021,1.5,255.0,20.0,1.2
0.021,1.5,255.0,20.0,1.3
0.021,1.5,255.0,20.0,1.4
0.021,1.5,255.0,20.0,1.5
0.021,1.5,255.0,20.0,1.6
0.021,1.5,255.0,20.0,1.7
0.021,1.5,255.0,20.0,1.8
0.021,1.5,260.0,20.0,1.3
0.021,1.5,260.0,20.0,1.4
0.021,1.5,260.0,20.0,1.5
0.021,1.5,260.0,20.0,1.6
0.021,1.5,260.0,20.0,1.7
0.021,1.5,260.0,20.0,1.8
0.021,1.5,260.0,20.0,1.9
0.021,1.5,260.0,20.0,2.0
0.021,1.5,265.0,20.0,1.4
0.021,1.5,265.0,20.0,1.5
0.021,1.5,265.0,20.0,1.6
0.021,1.5,265.0,20.0,1.7
0.021,1.5,265.0,20.0,1.8
0.021,1.5,265.0,20.0,1.9
0.021,1.5,265.0,20.0,2.0
0.021,1.5,265.0,20.0,2.1
0.021,1.5,265.0,20.0,2.2
0.021,1.5,265.0,20.0,2.3
0.021,1.5,270.0,20.0,1.5
0.021,1.5,270.0,20.0,1.6
0.021,1.5,270.0,20.0,1.7
0.021,1.5,270.0,20.0,1.8
0.021,1.5,270.0,20.0,1.9
0.021,1.5,270.0,20.0,2.0
0.021,1.5,270.0,20.0,2.1
0.021,1.5,270.0,20.0,2.2
0.021,1.5,270.0,20.0,2.3
0.021,1.5,270.0,20.0,2.4
0.021,1.5,270.0,20.0,2.5
0.021,1.5,270.0,20.0,2.6
0.021,1.5,270.0,20.0,2.7
0.021,1.5,275.0,20.0,1.7
0.021,1.5,275.0,20.0,1.8
0.021,1.5,275.0,20.0,1.9
0.021,1.5,275.0,20.0,2.0
0.021,1.5,275.0,20.0,2.1
0.021,1.5,275.0,20.0,2.2
0.021,1.5,275.0,20.0,2.3
0.021,1.5,275.0,20.0,2.4
0.021,1.5,275.0,20.0,2.5
0.021,1.5,275.0,20.0,2.6
0.021,1.5,275.0,20.0,2.7
0.021,1.5,275.0,20.0,2.8
0.021,1.5,275.0,20.0,2.9
0.021,1.5,275.0,20.0,3.0
0.021,1.5,280.0,20.0,1.8
0.021,1.5,280.0,20.0,1.9
0.021,1.5,280.0,20.0,2.0
0.021,1.5,280.0,20.0,2.1
0.021,1.5,280.0,20.0,2.2
0.021,1.5,280.0,20.0,2.3
0.021,1.5,280.0,20.0,2.4
0.021,1.5,280.0,20.0,2.5
0.021,1.5,280.0,20.0,2.6
0.021,1.5,280.0,20.0,2.7
0.021,1.5,280.0,20.0,2.8
0.021,1.5,280.0,20.0,2.9
0.021,1.5,280.0,20.0,3.0
0.021,1.5,285.0,20.0,2.0
0.021,1.5,285.0,20.0,2.1
0.021,1.5,285.0,20.0,2.2
0.021,1.5,285.0,20.0,2.3
0.021,1.5,285.0,20.0,2.4
0.021,1.5,285.0,20.0,2.5
0.021,1.5,285.0,20.0,2.6
0.021,1.5,285.0,20.0,2.7
0.021,1.5,285.0,20.0,2.8
0.021,1.5,285.0,20.0,2.9
0.021,1.5,285.0,20.0,3.0
0.021,1.5,290.0,20.0,2.3
0.021,1.5,290.0,20.0,2.4
0.021,1.5,290.0,20.0,2.5
0.021,1.5,290.0,20.0,2.6
0.021,1.5,290.0,20.0,2.7
0.021,1.5,290.0,20.0,2.8
0.021,1.5,290.0,20.0,2.9
0.021,1.5,290.0,20.0,3.0
0.021,1.5,295.0,20.0,2.5
0.021,1.5,295.0,20.0,2.6
0.021,1.5,295.0,20.0,2.7
0.021,1.5,295.0,20.0,2.8
0.021,1.5,295.0,20.0,2.9
0.021,1.5,295.0,20.0,3.0
0.021,1.5,300.0,20.0,2.8
0.021,1.5,300.0,20.0,2.9
0.021,1.5,300.0,20.0,3.0
0.021,1.6,250.0,20.0,1.0
0.021,1.6,250.0,20.0,1.1
0.021,1.6,250.0,20.0,1.2
0.021,1.6,255.0,20.0,1.0
0.021,1.6,255.0,20.0,1.1
0.021,1.6,255.0,20.0,1.2
0.021,1.6,255.0,20.0,1.3
0.021,1.6,255.0,20.0,1.4
0.021,1.6,260.0,20.0,1.0
0.021,1.6,260.0,20.0,1.1
0.021,1.6,260.0,20.0,1.2
0.021,1.6,260.0,20.0,1.3
0.021,1.6,260.0,20.0,1.4
0.021,1.6,260.0,20.0,1.5
0.021,1.6,260.0,20.0,1.6
0.021,1.6,265.0,20.0,1.0
0.021,1.6,265.0,20.0,1.1
0.021,1.6,265.0,20.0,1.2
0.021,1.6,265.0,20.0,1.3
0.021,1.6,265.0,20.0,1.4
0.021,1.6,265.0,20.0,1.5
0.021,1.6,265.0,20.0,1.6
0.021,1.6,265.0,20.0,1.7
0.021,1.6,265.0,20.0,1.8
0.021,1.6,270.0,20.0,1.1
0.021,1.6,270.0,20.0,1.2
0.021,1.6,270.0,20.0,1.3
0.021,1.6,270.0,20.0,1.4
0.021,1.6,270.0,20.0,1.5
0.021,1.6,270.0,20.0,1.6
0.021,1.6,270.0,20.0,1.7
0.021,1.6,270.0,20.0,1.8
0.021,1.6,270.0,20.0,1.9
0.021,1.6,270.0,20.0,2.0
0.021,1.6,270.0,20.0,2.1
0.021,1.6,275.0,20.0,1.2
0.021,1.6,275.0,20.0,1.3
0.021,1.6,275.0,20.0,1.4
0.021,1.6,275.0,20.0,1.5
0.021,1.6,275.0,20.0,1.6
0.021,1.6,275.0,20.0,1.7
0.021,1.6,275.0,20.0,1.8
0.021,1.6,275.0,20.0,1.9
0.021,1.6,275.0,20.0,2.0
0.021,1.6,275.0,20.0,2.1
0.021,1.6,275.0,20.0,2.2
0.021,1.6,275.0,20.0,2.3
0.021,1.6,275.0,20.0,2.4
0.021,1.6,280.0,20.0,1.4
0.021,1.6,280.0,20.0,1.5
0.021,1.6,280.0,20.0,1.6
0.021,1.6,280.0,20.0,1.7
0.021,1.6,280.0,20.0,1.8
0.021,1.6,280.0,20.0,1.9
0.021,1.6,280.0,20.0,2.0
0.021,1.6,280.0,20.0,2.1
0.021,1.6,280.0,20.0,2.2
0.021,1.6,280.0,20.0,2.3
0.021,1.6,280.0,20.0,2.4
0.021,1.6,280.0,20.0,2.5
0.021,1.6,280.0,20.0,2.6
0.021,1.6,280.0,20.0,2.7
0.021,1.6,285.0,20.0,1.5
0.021,1.6,285.0,20.0,1.6
0.021,1.6,285.0,20.0,1.7
0.021,1.6,285.0,20.0,1.8
0.021,1.6,285.0,20.0,1.9
0.021,1.6,285.0,20.0,2.0
0.021,1.6,285.0,20.0,2.1
0.021,1.6,285.0,20.0,2.2
0.021,1.6,285.0,20.0,2.3
0.021,1.6,285.0,20.0,2.4
0.021,1.6,285.0,20.0,2.5
0.021,1.6,285.0,20.0,2.6
0.021,1.6,285.0,20.0,2.7
0.021,1.6,285.0,20.0,2.8
0.021,1.6,285.0,20.0,2.9
0.021,1.6,285.0,20.0,3.0
0.021,1.6,290.0,20.0,1.7
0.021,1.6,290.0,20.0,1.8
0.021,1.6,290.0,20.0,1.9
0.021,1.6,290.0,20.0,2.0
0.021,1.6,290.0,20.0,2.1
0.021,1.6,290.0,20.0,2.2
0.021,1.6,290.0,20.0,2.3
0.021,1.6,290.0,20.0,2.4
0.021,1.6,290.0,20.0,2.5
0.021,1.6,290.0,20.0,2.6
0.021,1.6,290.0,20.0,2.7
0.021,1.6,290.0,20.0,2.8
0.021,1.6,290.0,20.0,2.9
