K,n,δ,A,up
0.011,1.5,275.0,20.0,1.8
0.011,1.5,280.0,20.0,2.0
0.011,1.5,280.0,20.0,2.1
0.011,1.5,285.0,20.0,2.2
0.011,1.5,285.0,20.0,2.3
0.011,1.5,285.0,20.0,2.4
0.011,1.5,290.0,20.0,2.5
0.011,1.5,290.0,20.0,2.6
0.011,1.5,290.0,20.0,2.7
0.011,1.5,290.0,20.0,2.8
0.011,1.5,295.0,20.0,2.8
0.011,1.5,295.0,20.0,2.9
0.011,1.5,295.0,20.0,3.0
0.011,1.6,270.0,20.0,1.2
0.011,1.6,275.0,20.0,1.3
0.011,1.6,275.0,20.0,1.4
0.011,1.6,280.0,20.0,1.4
0.011,1.6,280.0,20.0,1.5
0.011,1.6,280.0,20.0,1.6
0.011,1.6,285.0,20.0,1.6
0.011,1.6,285.0,20.0,1.7
0.011,1.6,285.0,20.0,1.8
0.011,1.6,290.0,20.0,1.8
0.011,1.6,290.0,20.0,1.9
0.011,1.6,290.0,20.0,2.0
0.011,1.6,290.0,20.0,2.1
0.011,1.6,295.0,20.0,2.0
0.011,1.6,295.0,20.0,2.1
0.011,1.6,295.0,20.0,2.2
0.011,1.6,295.0,20.0,2.3
0.011,1.6,300.0,20.0,2.2
0.011,1.6,300.0,20.0,2.3
0.011,1.6,300.0,20.0,2.4
0.011,1.6,300.0,20.0,2.5
0.011,1.6,300.0,20.0,2.6
0.011,1.6,300.0,20.0,2.7
0.011,1.6,305.0,20.0,2.5
0.011,1.6,305.0,20.0,2.6
0.011,1.6,305.0,20.0,2.7
0.011,1.6,305.0,20.0,2.8
0.011,1.6,305.0,20.0,2.9
0.011,1.6,305.0,20.0,3.0
0.011,1.6,310.0,20.0,2.8
0.011,1.6,310.0,20.0,2.9
0.011,1.6,310.0,20.0,3.0
0.011,1.7,275.0,20.0,1.0
0.011,1.7,275.0,20.0,1.1
0.011,1.7,280.0,20.0,1.1
0.011,1.7,280.0,20.0,1.2
0.011,1.7,285.0,20.0,1.2
0.011,1.7,285.0,20.0,1.3
0.011,1.7,285.0,20.0,1.4
0.011,1.7,290.0,20.0,1.4
0.011,1.7,290.0,20.0,1.5
0.011,1.7,290.0,20.0,1.6
0.011,1.7,295.0,20.0,1.5
0.011,1.7,295.0,20.0,1.6
0.011,1.7,295.0,20.0,1.7
0.011,1.7,295.0,20.0,1.8
0.011,1.7,300.0,20.0,1.7
0.011,1.7,300.0,20.0,1.8
0.011,1.7,300.0,20.0,1.9
0.011,1.7,300.0,20.0,2.0
0.011,1.7,305.0,20.0,1.9
0.011,1.7,305.0,20.0,2.0
0.011,1.7,305.0,20.0,2.1
0.011,1.7,305.0,20.0,2.2
0.011,1.7,305.0,20.0,2.3
0.011,1.7,310.0,20.0,2.1
0.011,1.7,310.0,20.0,2.2
0.011,1.7,310.0,20.0,2.3
0.011,1.7,310.0,20.0,2.4
0.011,1.7,310.0,20.0,2.5
0.011,1.7,310.0,20.0,2.6
0.011,1.7,315.0,20.0,2.3
0.011,1.7,315.0,20.0,2.4
0.011,1.7,315.0,20.0,2.5
0.011,1.7,315.0,20.0,2.6
0.011,1.7,315.0,20.0,2.7
0.011,1.7,315.0,20.0,2.8
0.011,1.7,315.0,20.0,2.9
0.011,1.7,315.0,20.0,3.0
0.011,1.7,320.0,20.0,2.6
0.011,1.7,320.0,20.0,2.7
0.011,1.7,320.0,20.0,2.8
0.011,1.7,320.0,20.0,2.9
0.011,1.7,320.0,20.0,3.0
0.011,1.7,325.0,20.0,2.9
0.011,1.7,325.0,20.0,3.0
0.011,1.8,280.0,20.0,1.0
0.011,1.8,285.0,20.0,1.0
0.011,1.8,285.0,20.0,1.1
0.011,1.8,290.0,20.0,1.1
0.011,1.8,290.0,20.0,1.2
0.011,1.8,290.0,20.0,1.3
0.011,1.8,295.0,20.0,1.2
0.011,1.8,295.0,20.0,1.3
0.011,1.8,295.0,20.0,1.4
0.011,1.8,300.0,20.0,1.3
0.011,1.8,300.0,20.0,1.4
0.011,1.8,300.0,20.0,1.5
0.011,1.8,300.0,20.0,1.6
0.011,1.8,305.0,20.0,1.4
0.011,1.8,305.0,20.0,1.5
0.011,1.8,305.0,20.0,1.6
0.011,1.8,305.0,20.0,1.7
0.011,1.8,305.0,20.0,1.8
0.011,1.8,310.0,20.0,1.6
0.011,1.8,310.0,20.0,1.7
0.011,1.8,310.0,20.0,1.8
0.011,1.8,310.0,20.0,1.9
0.011,1.8,310.0,20.0,2.0
0.011,1.8,315.0,20.0,1.8
0.011,1.8,315.0,20.0,1.9
0.011,1.8,315.0,20.0,2.0
0.011,1.8,315.0,20.0,2.1
0.011,1.8,315.0,20.0,2.2
0.011,1.8,315.0,20.0,2.3
0.011,1.8,320.0,20.0,1.9
0.011,1.8,320.0,20.0,2.0
0.011,1.8,320.0,20.0,2.1
0.011,1.8,320.0,20.0,2.2
0.011,1.8,320.0,20.0,2.3
0.011,1.8,320.0,20.0,2.4
0.011,1.8,320.0,20.0,2.5
0.011,1.8,320.0,20.0,2.6
0.011,1.8,325.0,20.0,2.1
0.011,1.8,325.0,20.0,2.2
0.011,1.8,325.0,20.0,2.3
0.011,1.8,325.0,20.0,2.4
0.011,1.8,325.0,20.0,2.5
