Binary,Integer,Number of Gates,Optimal Network
00.00.00.01,1,4,"O = NAND(I1)
I1 = NAND(a, I2)
I2 = NAND(I3)
I3 = NAND(b, c)"
00.00.00.10,2,5,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(I4)
I4 = NAND(a, b)"
00.00.01.10,6,6,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(a, c)
I5 = NAND(b, a)"
00.00.01.11,7,3,"O = NAND(I1, I2)
I1 = NAND(a, c)
I2 = NAND(a, b)"
00.00.10.00,8,6,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(I4)
I4 = NAND(I5, a)
I5 = NAND(b)"
00.00.10.01,9,7,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(c, b)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(b, I3)"
00.00.10.11,11,4,"O = NAND(I1)
I1 = NAND(I2, a)
I2 = NAND(c, I3)
I3 = NAND(b)"
00.00.11.10,14,3,"O = NAND(I1)
I1 = NAND(I2, a)
I2 = NAND(b, c)"
00.01.01.10,22,8,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, c)
I6 = NAND(I7, I4)
I7 = NAND(I2)"
00.01.01.11,23,6,"O = NAND(I1, I5)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c)
I4 = NAND(a)
I5 = NAND(a, c)"
00.01.10.00,24,7,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I6)
I6 = NAND(c)"
00.01.10.01,25,7,"O = NAND(I1, I2)
I1 = NAND(b, c)
I2 = NAND(I3, I4)
I3 = NAND(c)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(b)"
00.01.10.10,26,6,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(a, c)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a)"
00.01.10.11,27,4,"O = NAND(I1, I2)
I1 = NAND(b, c)
I2 = NAND(I3, a)
I3 = NAND(c)"
00.01.11.10,30,6,"O = NAND(I1, I5)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I4)"
00.01.11.11,31,3,"O = NAND(I1, I2)
I1 = NAND(b, c)
I2 = NAND(a)"
00.10.10.00,40,7,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(I4, I6)
I4 = NAND(I5, b)
I5 = NAND(a, b)
I6 = NAND(a, I5)"
