Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
0000,0,NAN,NAN,0,0
0001,"And(x[0], x[1])",3,"O = NOR(I1, I2),I1 = NOR(b),I2 = NOR(a)",7,2
0010,"And(~x[0], x[1])",2,"O = NOR(I1, b),I1 = NOR(a)",11,2
0011,x[1],2,"O = NOR(I1),I1 = NOR(a, b)",1,1
0100,"And(x[0], ~x[1])",2,"O = NOR(I1, a),I1 = NOR(b)",11,2
0101,x[0],2,"O = NOR(I1),I1 = NOR(a, b)",1,1
0110,"Or(And(~x[0], x[1]), And(x[0], ~x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, a),I4 = NOR(a, I3)",9,2
0111,"Or(x[0], x[1])",2,"O = NOR(I1),I1 = NOR(a, b)",1,2
1000,"And(~x[0], ~x[1])",1,"O = NOR(a, b)",14,2
1001,"Or(And(~x[0], ~x[1]), And(x[0], x[1]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(a, b),I3 = NOR(a, I2)",6,2
1010,~x[0],3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b)",2,1
1011,"Or(~x[0], x[1])",3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b)",2,2
1100,~x[1],3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b)",2,1
1101,"Or(x[0], ~x[1])",3,"O = NOR(I1),I1 = NOR(I2, b),I2 = NOR(a)",2,2
1110,"Or(~x[0], ~x[1])",4,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(a)",8,2
1111,1,2,"O = NOR(I1),I1 = NOR(a, b)",1,0
