K,n,δ,A,up
0.01,8.2,465.0,20.0,1.0
0.01,8.2,470.0,20.0,1.0
0.01,8.2,475.0,20.0,1.0
0.01,8.2,480.0,20.0,1.0
0.01,8.2,485.0,20.0,1.0
0.01,8.2,490.0,20.0,1.0
0.01,8.2,495.0,20.0,1.0
0.01,8.2,500.0,20.0,1.0
0.01,8.4,465.0,20.0,1.0
0.01,8.4,470.0,20.0,1.0
0.01,8.4,475.0,20.0,1.0
0.01,8.4,480.0,20.0,1.0
0.01,8.4,485.0,20.0,1.0
0.01,8.4,490.0,20.0,1.0
0.01,8.4,495.0,20.0,1.0
0.01,8.4,500.0,20.0,1.0
0.01,8.6,470.0,20.0,1.0
0.01,8.6,475.0,20.0,1.0
0.01,8.6,480.0,20.0,1.0
0.01,8.6,485.0,20.0,1.0
0.01,8.6,490.0,20.0,1.0
0.01,8.6,495.0,20.0,1.0
0.01,8.6,500.0,20.0,1.0
0.01,8.8,470.0,20.0,1.0
0.01,8.8,475.0,20.0,1.0
0.01,8.8,480.0,20.0,1.0
0.01,8.8,485.0,20.0,1.0
0.01,8.8,490.0,20.0,1.0
0.01,8.8,495.0,20.0,1.0
0.01,8.8,500.0,20.0,1.0
0.01,9.0,470.0,20.0,1.0
0.01,9.0,475.0,20.0,1.0
0.01,9.0,480.0,20.0,1.0
0.01,9.0,485.0,20.0,1.0
0.01,9.0,490.0,20.0,1.0
0.01,9.0,495.0,20.0,1.0
0.01,9.0,500.0,20.0,1.0
0.06,8.2,280.0,20.0,1.0
0.06,8.2,285.0,20.0,1.0
0.06,8.2,290.0,20.0,1.0
0.06,8.2,295.0,20.0,1.0
0.06,8.2,300.0,20.0,1.0
0.06,8.2,305.0,20.0,1.0
0.06,8.2,310.0,20.0,1.0
0.06,8.2,315.0,20.0,1.0
0.06,8.2,320.0,20.0,1.0
0.06,8.2,325.0,20.0,1.0
0.06,8.2,330.0,20.0,1.0
0.06,8.2,335.0,20.0,1.0
0.06,8.2,340.0,20.0,1.0
0.06,8.2,345.0,20.0,1.0
0.06,8.2,350.0,20.0,1.0
0.06,8.2,350.0,20.0,2.0
0.06,8.2,355.0,20.0,1.0
0.06,8.2,355.0,20.0,2.0
0.06,8.2,360.0,20.0,1.0
0.06,8.2,360.0,20.0,2.0
0.06,8.2,365.0,20.0,1.0
0.06,8.2,365.0,20.0,2.0
0.06,8.2,370.0,20.0,1.0
0.06,8.2,370.0,20.0,2.0
0.06,8.2,375.0,20.0,1.0
0.06,8.2,375.0,20.0,2.0
0.06,8.2,380.0,20.0,1.0
0.06,8.2,380.0,20.0,2.0
0.06,8.2,385.0,20.0,2.0
0.06,8.2,390.0,20.0,2.0
0.06,8.2,390.0,20.0,3.0
0.06,8.2,395.0,20.0,2.0
0.06,8.2,395.0,20.0,3.0
0.06,8.2,400.0,20.0,2.0
0.06,8.2,400.0,20.0,3.0
0.06,8.2,405.0,20.0,2.0
0.06,8.2,405.0,20.0,3.0
0.06,8.2,410.0,20.0,2.0
0.06,8.2,410.0,20.0,3.0
0.06,8.2,415.0,20.0,2.0
0.06,8.2,415.0,20.0,3.0
0.06,8.2,415.0,20.0,4.0
0.06,8.2,420.0,20.0,2.0
0.06,8.2,420.0,20.0,3.0
0.06,8.2,420.0,20.0,4.0
0.06,8.2,425.0,20.0,2.0
0.06,8.2,425.0,20.0,3.0
0.06,8.2,425.0,20.0,4.0
0.06,8.2,430.0,20.0,2.0
0.06,8.2,430.0,20.0,3.0
0.06,8.2,430.0,20.0,4.0
0.06,8.2,435.0,20.0,2.0
0.06,8.2,435.0,20.0,3.0
0.06,8.2,435.0,20.0,4.0
0.06,8.2,440.0,20.0,2.0
0.06,8.2,440.0,20.0,3.0
0.06,8.2,440.0,20.0,4.0
0.06,8.2,440.0,20.0,5.0
0.06,8.2,445.0,20.0,2.0
0.06,8.2,445.0,20.0,3.0
0.06,8.2,445.0,20.0,4.0
0.06,8.2,445.0,20.0,5.0
0.06,8.2,450.0,20.0,2.0
0.06,8.2,450.0,20.0,3.0
0.06,8.2,450.0,20.0,4.0
0.06,8.2,450.0,20.0,5.0
0.06,8.2,455.0,20.0,2.0
0.06,8.2,455.0,20.0,3.0
0.06,8.2,455.0,20.0,4.0
0.06,8.2,455.0,20.0,5.0
0.06,8.2,460.0,20.0,2.0
0.06,8.2,460.0,20.0,3.0
0.06,8.2,460.0,20.0,4.0
0.06,8.2,460.0,20.0,5.0
0.06,8.2,460.0,20.0,6.0
0.06,8.2,465.0,20.0,2.0
0.06,8.2,465.0,20.0,3.0
0.06,8.2,465.0,20.0,4.0
0.06,8.2,465.0,20.0,5.0
0.06,8.2,465.0,20.0,6.0
0.06,8.2,470.0,20.0,2.0
0.06,8.2,470.0,20.0,3.0
0.06,8.2,470.0,20.0,4.0
0.06,8.2,470.0,20.0,5.0
0.06,8.2,470.0,20.0,6.0
0.06,8.2,475.0,20.0,3.0
0.06,8.2,475.0,20.0,4.0
0.06,8.2,475.0,20.0,5.0
0.06,8.2,475.0,20.0,6.0
0.06,8.2,475.0,20.0,7.0
0.06,8.2,480.0,20.0,3.0
0.06,8.2,480.0,20.0,4.0
0.06,8.2,480.0,20.0,5.0
0.06,8.2,480.0,20.0,6.0
0.06,8.2,480.0,20.0,7.0
0.06,8.2,485.0,20.0,3.0
0.06,8.2,485.0,20.0,4.0
0.06,8.2,485.0,20.0,5.0
0.06,8.2,485.0,20.0,6.0
0.06,8.2,485.0,20.0,7.0
0.06,8.2,485.0,20.0,8.0
0.06,8.2,490.0,20.0,3.0
0.06,8.2,490.0,20.0,4.0
0.06,8.2,490.0,20.0,5.0
0.06,8.2,490.0,20.0,6.0
0.06,8.2,490.0,20.0,7.0
0.06,8.2,490.0,20.0,8.0
0.06,8.2,495.0,20.0,3.0
0.06,8.2,495.0,20.0,4.0
0.06,8.2,495.0,20.0,5.0
0.06,8.2,495.0,20.0,6.0
0.06,8.2,495.0,20.0,7.0
0.06,8.2,495.0,20.0,8.0
0.06,8.2,500.0,20.0,3.0
0.06,8.2,500.0,20.0,4.0
0.06,8.2,500.0,20.0,5.0
0.06,8.2,500.0,20.0,6.0
0.06,8.2,500.0,20.0,7.0
0.06,8.2,500.0,20.0,8.0
0.06,8.2,500.0,20.0,9.0
0.06,8.4,285.0,20.0,1.0
0.06,8.4,290.0,20.0,1.0
0.06,8.4,295.0,20.0,1.0
0.06,8.4,300.0,20.0,1.0
0.06,8.4,305.0,20.0,1.0
0.06,8.4,310.0,20.0,1.0
0.06,8.4,315.0,20.0,1.0
0.06,8.4,320.0,20.0,1.0
0.06,8.4,325.0,20.0,1.0
0.06,8.4,330.0,20.0,1.0
0.06,8.4,335.0,20.0,1.0
0.06,8.4,340.0,20.0,1.0
0.06,8.4,345.0,20.0,1.0
0.06,8.4,350.0,20.0,1.0
0.06,8.4,350.0,20.0,2.0
