K,n,δ,A,up
0.16,8.2,405.0,20.0,3.0
0.16,8.4,345.0,20.0,2.0
0.16,8.6,275.0,20.0,1.0
0.16,8.6,345.0,20.0,2.0
0.16,8.8,445.0,20.0,4.0
0.16,9.0,275.0,20.0,1.0
0.16,9.0,280.0,20.0,1.0
0.21,8.2,315.0,20.0,2.0
0.21,8.6,250.0,20.0,1.0
0.21,8.8,365.0,20.0,3.0
0.21,9.0,310.0,20.0,2.0
0.26,8.2,445.0,20.0,7.0
0.26,8.4,370.0,20.0,4.0
0.26,8.6,285.0,20.0,2.0
0.26,8.8,285.0,20.0,2.0
0.26,9.0,290.0,20.0,2.0
0.31,8.2,440.0,20.0,8.0
0.31,8.4,265.0,20.0,2.0
0.31,8.6,315.0,20.0,3.0
0.31,8.6,320.0,20.0,3.0
0.31,8.6,445.0,20.0,8.0
0.31,8.8,265.0,20.0,2.0
0.31,8.8,445.0,20.0,8.0
0.31,9.0,265.0,20.0,2.0
0.31,9.0,410.0,20.0,6.0
0.36,8.2,325.0,20.0,4.0
0.36,8.2,330.0,20.0,4.0
0.36,8.2,385.0,20.0,6.0
0.36,8.4,385.0,20.0,6.0
0.36,9.0,330.0,20.0,4.0
0.36,9.0,365.0,20.0,5.0
0.41,8.2,365.0,20.0,6.0
0.41,8.2,385.0,20.0,7.0
0.41,8.4,365.0,20.0,6.0
0.41,8.4,410.0,20.0,8.0
0.41,8.6,310.0,20.0,4.0
0.41,8.8,240.0,20.0,2.0
0.41,8.8,365.0,20.0,6.0
0.41,8.8,390.0,20.0,7.0
0.41,8.8,420.0,20.0,9.0
0.46,8.6,300.0,20.0,4.0
0.46,8.6,405.0,20.0,9.0
0.46,8.6,410.0,20.0,9.0
0.46,8.8,300.0,20.0,4.0
0.46,8.8,325.0,20.0,5.0
0.46,8.8,375.0,20.0,7.0
0.46,8.8,380.0,20.0,7.0
0.46,9.0,325.0,20.0,5.0
0.46,9.0,335.0,20.0,5.0
0.51,8.2,395.0,20.0,9.0
0.51,8.4,340.0,20.0,6.0
0.51,8.6,335.0,20.0,6.0
0.51,8.8,255.0,20.0,3.0
0.51,9.0,260.0,20.0,3.0
0.51,9.0,375.0,20.0,8.0
0.56,8.2,325.0,20.0,6.0
0.56,8.2,360.0,20.0,8.0
0.56,8.2,380.0,20.0,9.0
0.56,8.4,325.0,20.0,6.0
0.56,8.4,365.0,20.0,8.0
0.56,8.4,380.0,20.0,9.0
0.56,8.6,330.0,20.0,6.0
0.56,8.6,385.0,20.0,9.0
0.56,8.8,345.0,20.0,7.0
0.56,9.0,300.0,20.0,5.0
0.56,9.0,380.0,20.0,9.0
0.61,8.2,265.0,20.0,4.0
0.61,8.2,310.0,20.0,6.0
0.61,8.2,350.0,20.0,8.0
0.61,8.2,365.0,20.0,9.0
0.61,8.4,310.0,20.0,6.0
0.61,8.4,335.0,20.0,7.0
0.61,8.4,365.0,20.0,9.0
0.61,8.6,290.0,20.0,5.0
0.61,8.6,385.0,20.0,10.0
0.61,9.0,240.0,20.0,3.0
0.61,9.0,290.0,20.0,5.0
0.61,9.0,350.0,20.0,8.0
0.66,8.2,255.0,20.0,4.0
0.66,8.2,300.0,20.0,6.0
0.66,8.2,370.0,20.0,10.0
0.66,8.4,255.0,20.0,4.0
0.66,8.4,260.0,20.0,4.0
0.66,8.4,340.0,20.0,8.0
0.66,8.4,360.0,20.0,9.0
0.66,8.6,255.0,20.0,4.0
0.66,8.6,300.0,20.0,6.0
0.66,8.6,370.0,20.0,10.0
0.66,8.8,305.0,20.0,6.0
0.66,8.8,340.0,20.0,8.0
0.66,9.0,290.0,20.0,5.0
0.66,9.0,375.0,20.0,10.0
0.71,8.2,345.0,20.0,9.0
0.71,8.6,295.0,20.0,6.0
0.71,8.6,360.0,20.0,10.0
0.71,8.6,365.0,20.0,10.0
0.71,9.0,345.0,20.0,9.0
0.76,8.2,240.0,20.0,4.0
0.76,8.2,335.0,20.0,9.0
0.76,8.4,285.0,20.0,6.0
0.76,8.6,240.0,20.0,4.0
0.76,8.6,305.0,20.0,6.0
0.76,8.6,335.0,20.0,9.0
0.76,9.0,340.0,20.0,9.0
0.76,9.0,355.0,20.0,10.0
0.81,8.2,255.0,20.0,5.0
0.81,8.4,255.0,20.0,5.0
0.81,8.4,265.0,20.0,5.0
0.81,8.6,235.0,20.0,4.0
0.81,8.6,260.0,20.0,5.0
0.81,8.6,330.0,20.0,9.0
0.81,8.8,235.0,20.0,4.0
0.81,8.8,255.0,20.0,5.0
0.81,8.8,295.0,20.0,7.0
0.81,9.0,260.0,20.0,5.0
0.81,9.0,270.0,20.0,5.0
0.81,9.0,315.0,20.0,8.0
0.86,8.2,250.0,20.0,5.0
0.86,8.2,285.0,20.0,7.0
0.86,8.2,320.0,20.0,9.0
0.86,8.6,290.0,20.0,7.0
0.86,8.6,335.0,20.0,10.0
0.86,8.8,255.0,20.0,5.0
0.86,8.8,275.0,20.0,6.0
0.86,9.0,325.0,20.0,9.0
0.91,8.4,325.0,20.0,10.0
0.91,8.4,330.0,20.0,10.0
0.91,8.8,245.0,20.0,5.0
0.91,9.0,270.0,20.0,6.0
0.96,8.4,240.0,20.0,5.0
0.96,8.4,300.0,20.0,8.0
0.96,8.6,265.0,20.0,6.0
0.96,8.8,240.0,20.0,5.0
0.96,9.0,275.0,20.0,7.0
