K,n,δ,A,up
0.031,6.1,335.0,20.0,1.0
0.031,6.1,340.0,20.0,1.0
0.031,6.1,340.0,20.0,1.1
0.031,6.1,345.0,20.0,1.0
0.031,6.1,345.0,20.0,1.1
0.031,6.1,350.0,20.0,1.0
0.031,6.1,350.0,20.0,1.1
0.031,6.1,350.0,20.0,1.2
0.031,6.2,335.0,20.0,1.0
0.031,6.2,340.0,20.0,1.0
0.031,6.2,345.0,20.0,1.0
0.031,6.2,345.0,20.0,1.1
0.031,6.2,350.0,20.0,1.0
0.031,6.2,350.0,20.0,1.1
0.031,6.2,350.0,20.0,1.2
0.031,6.3,335.0,20.0,1.0
0.031,6.3,340.0,20.0,1.0
0.031,6.3,345.0,20.0,1.0
0.031,6.3,345.0,20.0,1.1
0.031,6.3,350.0,20.0,1.0
0.031,6.3,350.0,20.0,1.1
0.031,6.3,350.0,20.0,1.2
0.031,6.4,335.0,20.0,1.0
0.031,6.4,340.0,20.0,1.0
0.031,6.4,345.0,20.0,1.0
0.031,6.4,345.0,20.0,1.1
0.031,6.4,350.0,20.0,1.0
0.031,6.4,350.0,20.0,1.1
0.031,6.5,335.0,20.0,1.0
0.031,6.5,340.0,20.0,1.0
0.031,6.5,345.0,20.0,1.0
0.031,6.5,345.0,20.0,1.1
0.031,6.5,350.0,20.0,1.0
0.031,6.5,350.0,20.0,1.1
0.031,6.6,340.0,20.0,1.0
0.031,6.6,345.0,20.0,1.0
0.031,6.6,345.0,20.0,1.1
0.031,6.6,350.0,20.0,1.0
0.031,6.6,350.0,20.0,1.1
0.031,6.7,340.0,20.0,1.0
0.031,6.7,345.0,20.0,1.0
0.031,6.7,345.0,20.0,1.1
0.031,6.7,350.0,20.0,1.0
0.031,6.7,350.0,20.0,1.1
0.031,6.8,340.0,20.0,1.0
0.031,6.8,345.0,20.0,1.0
0.031,6.8,350.0,20.0,1.0
0.031,6.8,350.0,20.0,1.1
0.031,6.9,340.0,20.0,1.0
0.031,6.9,345.0,20.0,1.0
0.031,6.9,350.0,20.0,1.0
0.031,6.9,350.0,20.0,1.1
0.031,7.0,340.0,20.0,1.0
0.031,7.0,345.0,20.0,1.0
0.031,7.0,350.0,20.0,1.0
0.031,7.0,350.0,20.0,1.1
0.051,6.1,290.0,20.0,1.0
0.051,6.1,295.0,20.0,1.0
0.051,6.1,295.0,20.0,1.1
0.051,6.1,300.0,20.0,1.0
0.051,6.1,300.0,20.0,1.1
0.051,6.1,305.0,20.0,1.0
0.051,6.1,305.0,20.0,1.1
0.051,6.1,305.0,20.0,1.2
0.051,6.1,310.0,20.0,1.0
0.051,6.1,310.0,20.0,1.1
0.051,6.1,310.0,20.0,1.2
0.051,6.1,310.0,20.0,1.3
0.051,6.1,315.0,20.0,1.0
0.051,6.1,315.0,20.0,1.1
0.051,6.1,315.0,20.0,1.2
0.051,6.1,315.0,20.0,1.3
0.051,6.1,320.0,20.0,1.0
0.051,6.1,320.0,20.0,1.1
0.051,6.1,320.0,20.0,1.2
0.051,6.1,320.0,20.0,1.3
0.051,6.1,320.0,20.0,1.4
0.051,6.1,325.0,20.0,1.0
0.051,6.1,325.0,20.0,1.1
0.051,6.1,325.0,20.0,1.2
0.051,6.1,325.0,20.0,1.3
0.051,6.1,325.0,20.0,1.4
0.051,6.1,325.0,20.0,1.5
0.051,6.1,330.0,20.0,1.0
0.051,6.1,330.0,20.0,1.1
0.051,6.1,330.0,20.0,1.2
0.051,6.1,330.0,20.0,1.3
0.051,6.1,330.0,20.0,1.4
0.051,6.1,330.0,20.0,1.5
0.051,6.1,330.0,20.0,1.6
0.051,6.1,335.0,20.0,1.0
0.051,6.1,335.0,20.0,1.1
0.051,6.1,335.0,20.0,1.2
0.051,6.1,335.0,20.0,1.3
0.051,6.1,335.0,20.0,1.4
0.051,6.1,335.0,20.0,1.5
0.051,6.1,335.0,20.0,1.6
0.051,6.1,335.0,20.0,1.7
0.051,6.1,340.0,20.0,1.0
0.051,6.1,340.0,20.0,1.1
0.051,6.1,340.0,20.0,1.2
