Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
00000000,0,NAN,NAN,0,0
00000001,"And(x[0], x[1], x[2])",6,"O = NOR(I1, I2),I1 = NOR(c),I2 = NOR(I3),I3 = NOR(I4, I5),I4 = NOR(b),I5 = NOR(a)",127,3
00000010,"And(~x[0], x[1], x[2])",5,"O = NOR(I1, I2),I1 = NOR(b),I2 = NOR(I3),I3 = NOR(I4, c),I4 = NOR(a)",191,3
00000011,"And(x[1], x[2])",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,2
00000100,"And(x[0], ~x[1], x[2])",5,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(I4, c),I4 = NOR(b)",191,3
00000101,"And(x[0], x[2])",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,2
00000110,"Or(And(~x[0], x[1], x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(b, I3)",159,3
00000111,"Or(And(x[1], x[2]), And(x[0], x[2]))",3,"O = NOR(I1, I2),I1 = NOR(b, c),I2 = NOR(a)",31,3
00001000,"And(~x[0], ~x[1], x[2])",4,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(b, c)",239,3
00001001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1], x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(b, c),I3 = NOR(I4),I4 = NOR(I5, I6),I5 = NOR(a),I6 = NOR(b, I2)",111,3
00001010,"And(~x[0], x[2])",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b)",11,2
00001011,"Or(And(~x[0], x[2]), And(x[1], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(c),I3 = NOR(a)",47,3
00001100,"And(~x[1], x[2])",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b)",11,2
00001101,"Or(And(~x[1], x[2]), And(x[0], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c),I3 = NOR(b)",47,3
00001110,"Or(And(~x[1], x[2]), And(~x[0], x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a),I4 = NOR(b, I3)",143,3
00001111,x[2],4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,1
00010000,"And(x[0], x[1], ~x[2])",5,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(I4, b),I4 = NOR(c)",191,3
00010001,"And(x[0], x[1])",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,2
00010010,"Or(And(x[0], x[1], ~x[2]), And(~x[0], x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, c),I4 = NOR(c, I3)",159,3
00010011,"Or(And(x[1], x[2]), And(x[0], x[1]))",3,"O = NOR(I1, I2),I1 = NOR(c, b),I2 = NOR(a)",31,3
00010100,"Or(And(x[0], x[1], ~x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",159,3
00010101,"Or(And(x[0], x[1]), And(x[0], x[2]))",3,"O = NOR(I1, I2),I1 = NOR(c, a),I2 = NOR(b)",31,3
00010110,"Or(And(x[0], x[1], ~x[2]), And(~x[0], x[1], x[2]), And(x[0], ~x[1], x[2]))",9,"O = NOR(I1, I6),I1 = NOR(I2, I9),I2 = NOR(c, I3),I3 = NOR(c, I4),I4 = NOR(I5, I7),I5 = NOR(b, I6),I6 = NOR(b, a),I7 = NOR(a, I6)",151,3
00010111,"Or(And(x[1], x[2]), And(x[0], x[1]), And(x[0], x[2]))",6,"O = NOR(I1, I5),I1 = NOR(b, I2),I2 = NOR(I3, I4),I3 = NOR(c),I4 = NOR(a),I5 = NOR(a, c)",23,3
00011000,"Or(And(x[0], x[1], ~x[2]), And(~x[0], ~x[1], x[2]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a),I4 = NOR(c, a),I5 = NOR(c, b)",189,3
00011001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1]))",6,"O = NOR(I1, I4),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b),I4 = NOR(c, I5),I5 = NOR(a)",61,3
00011010,"Or(And(~x[0], x[2]), And(x[0], x[1], ~x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, c),I4 = NOR(c, I3)",155,3
00011011,"Or(And(~x[0], x[2]), And(x[0], x[1]))",4,"O = NOR(I1, I2),I1 = NOR(c, b),I2 = NOR(I3, a),I3 = NOR(b)",27,3
00011100,"Or(And(~x[1], x[2]), And(x[0], x[1], ~x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",155,3
00011101,"Or(And(~x[1], x[2]), And(x[0], x[1]))",4,"O = NOR(I1, I2),I1 = NOR(c, a),I2 = NOR(I3, b),I3 = NOR(a)",27,3
00011110,"Or(And(~x[1], x[2]), And(x[0], x[1], ~x[2]), And(~x[0], x[2]))",8,"O = NOR(I1, I6),I1 = NOR(I2, I10),I2 = NOR(I3, I6),I3 = NOR(I4, I5),I4 = NOR(c),I5 = NOR(b),I6 = NOR(a, I3)",135,3
00011111,"Or(x[2], And(x[0], x[1]))",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,3
00100000,"And(~x[0], x[1], ~x[2])",4,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(c, b)",239,3
