Binary,Integer,Number of Gates,Optimal Network
0000.0000.0000.0001,1,6,"O = NAND(I1)
I1 = NAND(a, I2)
I2 = NAND(I3)
I3 = NAND(b, I4)
I4 = NAND(I5)
I5 = NAND(c, d)"
0000.0000.0000.0010,2,7,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(a, I5)
I5 = NAND(I6)
I6 = NAND(b, c)"
0000.0000.0000.0110,6,8,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4)
I4 = NAND(a, I5)
I5 = NAND(I6, I7)
I6 = NAND(b, d)
I7 = NAND(c, b)"
0000.0000.0000.0111,7,5,"O = NAND(I1)
I1 = NAND(a, I2)
I2 = NAND(I3, I4)
I3 = NAND(b, d)
I4 = NAND(b, c)"
0000.0000.0000.1000,8,8,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(I5, I6)
I5 = NAND(c)
I6 = NAND(I7)
I7 = NAND(a, b)"
0000.0000.0000.1001,9,8,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, a)
I4 = NAND(d, b)
I5 = NAND(c, a)
I6 = NAND(I7, I4)
I7 = NAND(I5, b)"
0000.0000.0000.1011,11,6,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c)
I4 = NAND(I5)
I5 = NAND(a, b)"
0000.0000.0000.1110,14,5,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4)
I4 = NAND(a, b)"
0000.0000.0001.0110,22,10,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(b, I3)
I3 = NAND(I4, a)
I4 = NAND(c, d)
I5 = NAND(I6, I10)
I6 = NAND(a, I7)
I7 = NAND(I4, I9)
I9 = NAND(b, d)"
0000.0000.0001.0111,23,7,"O = NAND(I1, I4)
I1 = NAND(I2, d)
I2 = NAND(I3, I4)
I3 = NAND(a, c)
I4 = NAND(b, I5)
I5 = NAND(I3, I7)"
0000.0000.0001.1000,24,9,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4)
I4 = NAND(a, I5)
I5 = NAND(I6, I7)
I6 = NAND(c, d)
I7 = NAND(b, I8)
I8 = NAND(d)"
0000.0000.0001.1001,25,8,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(I3, I4)
I3 = NAND(a, c)
I4 = NAND(b, I5)
I5 = NAND(d)
I6 = NAND(I5, I8)"
0000.0000.0001.1010,26,7,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(I3, d)
I3 = NAND(I4, a)
I4 = NAND(b, a)
I5 = NAND(I6, I4)
I6 = NAND(c, d)"
0000.0000.0001.1011,27,6,"O = NAND(I1)
I1 = NAND(a, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I5, b)
I5 = NAND(d)"
0000.0000.0001.1110,30,8,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(b, I3)
I3 = NAND(b, I4)
I4 = NAND(c, d)
I5 = NAND(I6)
I6 = NAND(a, I7)
I7 = NAND(I4, I3)"
0000.0000.0001.1111,31,5,"O = NAND(I1)
I1 = NAND(a, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(b)"
0000.0000.0010.1000,40,9,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(I5, I6)
I5 = NAND(b, c)
I6 = NAND(I7, I8)
I7 = NAND(a, c)
I8 = NAND(b, a)"
